iteration,locations,labels,cluster_centers,opt_route,arrival_times
1,"[[0.0, 0.0], [-9.371416286265315, 2.7282082252756084], [-3.712880378473466, 0.1714138232940563], [8.151329478521859, -5.014155417022501], [-1.7923415392874062, 5.1110227708609735], [-5.424036690167551, -8.46040180342414], [-4.204970941724639, -6.775574254919912], [8.59395304685146, 6.162407591288339], [2.6680751302084698, 7.429211803754356], [6.073441537982291, -6.268598822279284], [7.851179969799556, 0.786844838313014], [6.148803103281249, 7.921825998469863], [-3.6399305005627225, -7.798961509446465], [-5.441296749161166, -1.4578442274748742], [6.360295318449861, 7.214611665126867], [-9.860957389376185, 0.21494605155131552], [-1.6517799370244202, -5.557843790585395], [-7.6026926533263435, -3.247696571927441], [8.858194078250385, -3.5359413595848954], [0.3758124348673224, 4.060379177903556], [-2.7274079524141204, 9.435641654419214], [9.248945898842223, -4.964354083492717], [-0.0550298821522901, -3.982433803664607], [-4.303190112450648, -9.262261052909345], [2.191286679597937, 0.0535804645772302], [-8.970424975000213, -4.427070715267771], [8.165317719333075, -5.208762186660552], [-7.102102558175538, -0.21094479444873926], [9.713009082212015, -5.158894569769991], [3.442710948117572, 5.232392306574351], [-5.247249120152007, 4.5643269722371915], [-2.644337345614936, 2.646116611871589], [2.6705942152178945, 0.71549368149517], [-8.194204598911835, 6.70604991178476], [-3.5843987005652833, -6.269629792002915], [-9.184497168904722, 1.8178588637648367], [3.551287236845649, -9.668243421442877], [0.24186116598562002, -5.470084496041241], [2.9034558081889976, -6.512671419900171], [3.81875476204932, -2.265293073989252], [8.73459977473469, -7.249581117080135], [-3.17867297899483, -7.730529575188219], [8.493872365571256, 7.5467870676196185], [-4.841167445696888, 3.19968092068358], [6.344444004024318, 1.104016231989247], [0.5930115671201293, -5.162954181990966], [-8.137944643882015, 7.944315159066534], [8.008361143266608, 2.6620291454653593], [-3.219404179025986, -3.015808507746782], [4.519113577404788, 7.942205199051543], [7.741728485302346, 5.597510917152476]]","[7, 0, 5, 4, 5, 3, 3, 2, 2, 4, 7, 2, 3, 0, 2, 0, 3, 0, 4, 5, 6, 4, 1, 3, 7, 0, 4, 0, 4, 2, 5, 5, 7, 6, 3, 0, 1, 1, 1, 7, 4, 3, 2, 5, 7, 1, 6, 2, 3, 2, 2]","[[0.0, 0.0], [-6.219055397172783, -0.6840051830496918], [2.8177338940851016, -6.146919760671447], [5.632892488079665, 4.915382081327381], [-3.7448924731301383, -6.1418790271456185], [7.389941395000903, -5.345967367387952], [-2.549567212524398, 3.0421626562760897], [-4.801760213353855, 6.400876774846857], [3.926241489812055, 0.38690637642278164]]","[0, 8, 3, 5, 2, 4, 1, 7, 6, 0]","[0.0719, 0.1758, 0.3761, 0.4657, 0.5751, 0.7073, 0.849, 0.9425]"
2,"[[0.0, 0.0], [1.424258355030343, 4.907954782830791], [-2.4208818037498485, -3.944647847651499], [-0.8130797965435459, 6.359269886983071], [8.598435262913295, 0.9016682571978034], [3.2293241064730367, 8.065472444778283], [-8.029062971741151, -5.358428442676699], [4.178000125031648, 6.474889238245993], [7.140580566611558, -1.697856462901349], [-8.213201954162663, -1.2443704540076013], [-5.385308195858924, -4.176070900067517], [5.445351136750116, -8.489458279482262], [6.551624349614041, -1.446618283516619], [1.9212786220119007, -8.20695537528642], [-3.252818432854408, -8.205981619703085], [9.230874457622193, 6.145232986525009], [-0.8073449128707963, -5.527949033526578], [8.669102104997044, -3.1080680854605642], [-6.780311366252505, 1.2632877690790973], [8.875482406896321, -9.923394189993548], [-5.237503134920026, 8.768952808208152], [-6.578280662856759, -7.735130967203602], [1.4037443159960894, 7.2368764658965965], [-0.4578036461214765, 9.891285133690495], [3.5834339907598576, -8.518501855791046], [9.856642633639506, -1.8421152643961918], [-4.251949323090349, 1.1575836715577115], [-3.9138481635827134, -8.270849857596954], [-9.971433138416465, -1.0083329415947535], [6.737268444531846, 1.4463037126015301], [9.984145978868817, -4.263067087056001], [-4.390898704798893, -6.805010795321116], [-6.718728234693296, -4.296268079799043], [5.856800905470543, 8.115135812728958], [9.501743394153625, -5.354206918070947], [7.625950912281834, -3.434898214453259], [-7.743189109662312, 7.400498510403313], [2.722112692872372, -6.705382078378765], [-1.403374849739949, -4.254846102458647], [4.7358913742039395, -0.9316753875146393], [9.785598902127699, -8.905100354808098], [-2.8996946772750665, -0.36199665780045187], [0.06267109496639556, -3.6812835522872644], [4.584804981951361, 7.494941469779494], [8.77438603955726, 6.101867535990525], [7.011603946131988, 1.0109060123999107], [6.51776452853629, -3.929921817040956], [-2.0304247578157124, -3.661739723629114], [-0.6522532910414913, -4.288407675227273], [9.232228845088937, -3.7431074398866375], [-8.039109237781204, 0.5363433210082675]]","[5, 0, 5, 6, 7, 0, 4, 0, 7, 2, 4, 1, 7, 1, 4, 0, 5, 3, 2, 1, 6, 4, 0, 6, 1, 3, 2, 4, 2, 7, 3, 4, 4, 0, 3, 3, 6, 1, 5, 7, 3, 5, 5, 0, 0, 7, 3, 5, 5, 3, 2]","[[0.0, 0.0], [5.234836620985967, 6.111661028466095], [6.061272444953801, -6.368802289989121], [-7.085171648008209, 0.0039021995933694043], [6.949680390916613, -5.344742332484618], [-5.08514060722332, -5.8524002235308155], [-1.1425617595627802, -2.6551089082836676], [-3.2442207901613984, 6.136837081224533], [6.660820737090732, -0.0019382606756687681]]","[0, 6, 5, 2, 4, 8, 1, 7, 3, 0]","[0.0633, 0.1823, 0.3767, 0.4085, 0.5024, 0.6281, 0.7698, 0.936]"
3,"[[0.0, 0.0], [0.3360118938124792, -5.731042373479154], [0.7285909179671552, 6.707247083577851], [2.315851042027708, 2.6757683909000445], [0.82060578125623, 8.545312652628184], [8.638053688412064, 0.2544640214710441], [-3.884810257129912, -0.8082598824111216], [-6.268841756087687, 2.726886306361786], [0.0018467156446639876, -7.933990443734402], [-6.047044377607693, -0.4073608760094629], [7.751779814377166, 1.3278144126219473], [3.630700004169416, -3.219429005121805], [1.428227860884686, -1.0524035472386508], [3.1825982524632135, -8.988488678419792], [-0.13399567522081668, -4.080147497120661], [-3.4762987744418155, 9.218348631161227], [-6.346103745772345, -3.7750949484280616], [0.1978515146174349, 7.260538962992474], [-1.6665983358725907, 4.877305617763421], [7.127481964296049, -3.799672883563021], [-2.144996329225801, -2.868875526232875], [6.657116172358421, -9.113062760927978], [-3.8315782234263995, 3.5881711519025963], [1.308869991306853, -1.2742128141261144], [0.7989645444276867, -6.048308283433634], [-1.3856675678397927, 0.03405968352698174], [8.023782439092034, -4.783296743920474], [7.356570043298653, 2.884828016519638], [-9.59318337864798, 4.492626737987873], [-9.288962449018898, 9.947622536276263], [7.452733753823956, -4.053125049199087], [-4.851775396065891, -2.371178357887822], [-2.8766606937111394, -2.5532436322923786], [-3.634469077610392, 2.422668136966628], [-6.714726725587521, 6.919625848920262], [6.2480496806263055, -0.47033584289459185], [7.054599305570953, -5.057098599394134], [-9.648690885920661, 2.3841585005964596], [-0.8418118607056932, 1.3432909259174135], [7.986788180368059, 9.39851147131887], [2.6890627951120614, 5.2811117970487675], [-8.323831330256715, -6.785688302169888], [4.664096099059531, -1.3726908722399607], [-1.080694591911886, -3.8278463672912677], [2.1471276695548767, -6.296699091675948], [2.538325586277912, -6.524022857295206], [-8.723479305805729, -3.3928462260187793], [-5.3771931598030465, 7.779832771126646], [-8.900930922627468, -6.467726148517543], [0.9743921116609897, -0.37865618305052706], [-9.082959632505968, -9.85495143969711]]","[7, 0, 1, 1, 1, 6, 3, 3, 0, 3, 6, 0, 7, 0, 0, 4, 2, 1, 1, 5, 7, 5, 3, 7, 0, 7, 5, 6, 4, 4, 5, 3, 7, 3, 4, 6, 5, 3, 7, 8, 1, 2, 6, 7, 0, 0, 2, 4, 2, 7, 2]","[[0.0, 0.0], [2.2915708328438056, -6.026005752098015], [1.3118931208482454, 5.567219267393274], [-6.706566520281387, -6.7307425725555685], [-6.4770052963763565, 0.9751708388711658], [-6.490933230841267, 6.908032033432491], [6.234504192854334, -6.3924395314037525], [6.239886902210205, 0.6087052038842355], [-0.9234528333501444, -1.2471604437571044], [7.6771905140028736, 9.088913804953684]]","[0, 8, 3, 4, 5, 2, 9, 7, 6, 1, 0]","[0.0362, 0.224, 0.3562, 0.4553, 0.6077, 0.7725, 0.9378, 1.0546, 1.1264]"
4,"[[0.0, 0.0], [8.115441915710527, -8.930889720336033], [-3.8322157419667864, -4.237095027769435], [2.5273021576181147, -7.375500964454194], [7.646952236795073, 6.571028169300824], [3.0413163937055554, -0.8317233641560442], [8.659120842841567, 6.614931094411119], [-0.013697038375102721, 4.037467089086224], [1.3385990435936908, 1.7588447677652912], [-3.3804786112505747, -0.7583079075020649], [-8.437571384205116, -2.8530261667081502], [3.9165703072430382, 9.064320610123726], [9.261282255260404, 1.1144573824978323], [2.1324450361916405, -6.28557628998065], [3.906162161870615, -8.586824146512274], [-4.30628628401111, 3.3672669457088453], [-3.793797369130214, -9.003062517710914], [6.637408187019275, -3.7933998573087386], [-8.737895502826431, -8.504236709942695], [-4.964824024224928, -6.439681055569475], [5.486002355603016, -3.566319066659311], [6.09391570079665, -6.523080043536944], [-0.14241640911832398, 3.7607426710625766], [3.039817077317098, 2.0225881986053746], [8.496432038623396, -5.429497045865112], [-0.12561591075789202, 7.679851001448174], [-8.44212468809686, -8.882234634938495], [-5.333954248834171, 2.660424390760369], [-4.802407471003862, -6.19520232382402], [-0.8239536928341593, 2.27196137538823], [-5.028845859665192, -3.9861762655251587], [2.2711860962302772, 8.914768439789054], [3.494834548761766, 5.6580828716911995], [-2.663798104890624, -4.554912812310679], [-0.9146451359475485, 6.142656574233474], [-0.8740071641888836, 6.93450817579722], [9.775439613902542, -8.559466685393273], [-9.091796878325926, -7.008205941732763], [-2.3126064853130757, -7.379155817091352], [7.413289552375119, -9.537074979458724], [-3.68414567328355, -6.306107410115893], [8.630786603150646, 3.3896200978005595], [8.24060512902749, 9.446574206207867], [-0.05803512645261577, -5.313617839039475], [-6.125424276068214, -5.54162276628319], [4.171866152440058, -9.191085437539986], [-8.972778539345702, 2.162858847663001], [2.841142934748131, 3.305258486449201], [-2.562389908228175, 6.118897774283063], [0.6724917545323521, -7.890687399811611], [5.941986141346904, 9.061355725409165]]","[3, 6, 7, 2, 8, 3, 8, 4, 3, 5, 0, 1, 8, 2, 2, 5, 7, 6, 0, 7, 6, 6, 4, 3, 6, 4, 0, 5, 7, 3, 7, 1, 1, 7, 4, 4, 6, 0, 7, 6, 7, 8, 8, 7, 0, 2, 5, 3, 4, 2, 1]","[[0.0, 0.0], [-6.166962545904511, -5.869350852334129], [4.171391059137806, 7.36548903522132], [2.9386863184120235, -7.150980548638876], [1.111878654978238, 1.1482674010312834], [-0.589456964516215, 5.722731823773117], [-6.127159071886179, 0.7798230363191188], [7.07678115455256, -6.538714863140352], [-2.939312226236935, -6.132253740498481], [7.076802303866126, 5.075429835084194]]","[0, 4, 5, 2, 9, 7, 3, 8, 1, 6, 0]","[0.0377, 0.1423, 0.249, 0.3356, 0.5292, 0.6083, 0.7233, 0.7814, 0.8929]"
5,"[[0.0, 0.0], [4.9464913690344545, -6.60079874887651], [-5.070149498594388, -1.3813711345995827], [-3.371238619707735, 1.7078442207328859], [-3.243187618503047, -2.140967282822162], [7.257732164989719, 7.690628792560048], [6.5542238162681485, 7.296618654092654], [1.3945733867823407, 2.9246642950276787], [1.1434633310988112, 5.7117616810584], [1.020009715228884, -7.778460708984389], [6.191602409137197, 5.211703413550728], [6.406011905652505, -6.191410732204763], [-4.567658945700659, -4.084966054729399], [0.16161072371347274, -7.322458316730804], [-2.292364934502653, -6.356836778419408], [-4.70474573934527, 4.127752691168547], [7.09622312634562, -9.541882668056322], [1.3179392671000087, -9.278804758754656], [-8.295015099768994, 4.101680692282182], [4.712162130042332, 6.2796134634559735], [-0.5151697645939013, 7.196149640323764], [-6.663234167167513, -5.005671727299948], [-7.309957047960573, 5.950745211637532], [-5.426497632267622, -6.889775144834087], [2.4622137517611247, -8.458359472786512], [-9.10199445559655, -7.865647028950821], [-9.995182320256648, 3.939803084435848], [1.2447064342895722, -5.802497819245522], [-5.339901040448083, 6.219371969400793], [0.03640231720600795, 3.9705671416347936], [-0.9448909745016891, -5.245639479584154], [9.408056013658136, 1.3129512675079482], [-7.380361924641752, -1.8781991563218643], [-3.4132517610619857, -5.718250628229573], [8.668799784805191, 7.618399909195052], [-6.017057669597672, -2.957042218889665], [5.246307833416433, -5.829879037195687], [1.8312972520848891, 3.9958788424963316], [3.079446514215327, 4.128172805510012], [4.1339917805752595, 9.296118396978567], [-3.070022209593608, 7.57180848751679], [-9.563858749697864, -4.235940733534336], [-9.02688436001737, 3.0240791991168052], [-7.984192585367609, 6.914137273040925], [2.931833675805196, -9.423691978927886], [4.295547308692459, 7.240698945139222], [3.2224201532429895, -9.389515681299356], [7.158390969208131, 4.649278258680701], [-2.430973750320316, -3.427394833689947], [-0.40359637185119723, 7.342035018757418], [-4.9588129626088495, -7.980723775175978]]","[7, 1, 9, 7, 9, 5, 5, 2, 2, 6, 5, 1, 9, 4, 4, 0, 1, 6, 0, 5, 10, 3, 0, 3, 6, 3, 0, 4, 0, 2, 4, 8, 9, 4, 5, 9, 1, 2, 2, 5, 10, 3, 0, 0, 6, 5, 6, 5, 9, 10, 3]","[[0.0, 0.0], [-7.322334228366115, 4.3761796799035535], [6.167355348325807, -7.687389827716919], [1.533908868203935, 4.510740789764206], [-6.970201095776806, -5.750969843066622], [-1.084478346056427, -5.750953642543125], [5.787602945246495, 6.795110203250388], [2.330011978781772, -8.298744614916403], [-1.681825292257471, 0.8609790065804361], [9.404339255230983, 1.311946638832991], [-4.905131039358901, -2.651628774152222], [-1.8404984271041416, 6.264598543701166]]","[0, 8, 1, 11, 3, 6, 9, 2, 7, 5, 4, 10, 0]","[0.0424, 0.195, 0.3178, 0.4033, 0.5123, 0.6639, 0.8679, 0.942, 1.0414, 1.1395, 1.2255]"
6,"[[0.0, 0.0], [-0.28726013844627474, 1.8670865179736023], [5.795310724101295, 6.981135041208752], [-8.43909381296131, 8.08124775066349], [8.749933050085218, 1.857748087135711], [-6.264987734901881, 6.368296654069788], [0.9717522909919794, 6.3439290743275905], [6.2961625317863295, -8.265413686284152], [2.140428567413281, -0.3371140146255751], [8.922389399990355, -4.067174161492073], [-5.8799978761815, 7.941737120383095], [-7.025688621997905, 3.7303891744892343], [-3.9996037231637827, 1.3569151099495524], [2.3243886568252226, -1.6526143608406656], [9.499299604741914, -7.363336638300417], [-2.17201821926486, -1.3920934625136834], [2.620938979923631, -1.8548048361096185], [-8.059279772556735, 8.948599963616523], [-1.6784183672262856, -3.1465254556585487], [-1.065557516519906, -5.668086357421551], [-7.995566306626982, -7.028430417822749], [-6.6669034599288075, -6.046531235682098], [-1.6007957554761543, 2.477985380883073], [2.577756760534651, -9.998048608761463], [8.419153337967998, 6.456943610646434], [9.278760788720795, -2.8002731053961423], [3.29598553378794, -6.639585014878058], [6.34066054440672, -6.772645540912623], [-3.4802859838450084, -0.1833028810603352], [1.8906333770550088, 1.1926604857346312], [-7.958079765800054, -1.5664799427229799], [8.45818528411645, 7.447370555037033], [1.8156704650927953, 1.4464915090720272], [-7.766496347013396, -5.994810953793932], [-4.947205147918079, -0.2360854295238859], [4.627120961914375, -0.7854928879148364], [-7.478779163252045, -1.2130224597723895], [-6.7473349250222325, 5.02294703385769], [-6.66998279190842, -0.34932020911086603], [3.86827205322186, -5.436038721095828], [-8.479397847253471, 1.2659895214949746], [-8.91594672991215, 1.7553728593633604], [5.0699707517240284, -3.4136801665538696], [-0.23301181838615648, 8.575236764498932], [-0.5778227164889511, 9.931081227867779], [-6.859951772846542, 4.178678049665782], [3.0523719639450793, 7.446096270526542], [-8.151135760189185, -4.395868169963666], [-7.356415484793295, 8.661902445438429], [-1.4672935070948583, 8.201316910701383], [-4.111860112823546, -7.472637972766963]]","[4, 4, 6, 3, 6, 3, 1, 7, 4, 7, 3, 3, 5, 4, 7, 4, 4, 3, 4, 2, 0, 0, 4, 2, 6, 7, 2, 7, 5, 4, 5, 6, 4, 0, 5, 4, 5, 3, 5, 2, 5, 5, 7, 1, 1, 3, 1, 0, 3, 1, 0]","[[0.0, 0.0], [-6.150324868113825, -5.958587599830761], [-0.0010548968109132528, 6.877831434286143], [1.8878142483544487, -6.880250055786793], [-6.217648737751277, 6.6010846415209965], [0.811284510957056, 0.003387380986148658], [-6.216402232113338, 0.7348042710406768], [7.211288073509348, 4.579521798668689], [7.208758238817156, -5.2199538510284365]]","[0, 5, 7, 8, 3, 1, 6, 4, 2, 0]","[0.0136, 0.1965, 0.3599, 0.4762, 0.6256, 0.7382, 0.836, 0.9442]"
7,"[[0.0, 0.0], [7.894825525661567, 1.0573840752534363], [8.656996015374116, 8.52900829294078], [-0.7679796021255818, 1.6476522546674115], [-5.393714525741262, 9.810716376023265], [-4.433666791764102, 5.666139759619025], [-3.7406187968954807, -3.7391547582042994], [-7.922741465981078, 1.1979162159315955], [-5.103353237435815, -7.032104844847624], [-5.46666610966533, -4.978136858719402], [0.08166912238971946, -2.2815392688887552], [-8.490194379560798, 0.7205716579172226], [5.754949031775293, 1.4847032178799058], [9.490805045035415, -8.016995837110573], [6.423046735162188, 0.11385339794666116], [0.43190355090456123, 0.3819986929909689], [-3.493623441847231, -3.508899715194951], [2.6368901328495156, -9.104698292337671], [1.775720906036069, 4.49181436421831], [-2.8734741304916405, -5.652861210807334], [-5.732261745541911, -8.36320693310868], [-8.205613615871833, -6.666242636108146], [-9.616541898938259, -4.675291849516315], [-3.8719634150407973, 9.904425067122617], [9.83375475312251, -6.259023063258304], [-5.739356838061511, -0.16187258879135058], [-7.024313325245797, 0.08078816316383453], [-2.012205903898514, -3.5075421790025523], [6.452103416195506, 6.562353999861152], [9.757789339674531, -5.5382377183683555], [7.765549942874923, 0.7569185934786198], [1.8291886266470403, 7.925864286650526], [8.8526159275664, 4.536225154012746], [-3.0431513612975225, -0.2066402066298938], [2.301077281082197, 6.572800779721938], [3.158954107551109, -2.691047666247539], [-1.6423909727941126, -8.991245959214504], [8.48535720874272, -8.237619733410135], [1.5986158137108948, 7.433037624776436], [-1.582695009699858, 6.0025097502274285], [6.0763215927259004, -8.803079228275061], [-1.7571254853855667, 3.82050973374087], [-1.5529298186223421, 0.9033449635871236], [1.889158092132801, -6.97541246537515], [-1.7603758770294036, -9.430735566328682], [-7.007478336093111, 0.24508126752997228], [1.4717199587762053, -7.075311868166754], [5.1123854042484105, -2.5402422425801463], [8.412998576553438, -2.24674553389187], [-7.003780471347909, 5.159409173615153], [1.356016008786579, -2.2662366351168846]]","[4, 1, 8, 4, 6, 6, 7, 0, 7, 7, 4, 0, 1, 5, 1, 4, 7, 2, 3, 7, 7, 7, 7, 6, 5, 0, 0, 4, 8, 5, 1, 3, 8, 4, 3, 4, 2, 5, 3, 3, 5, 3, 4, 2, 2, 0, 2, 1, 1, 6, 4]","[[0.0, 0.0], [-7.032971786077284, 0.5300030353601253], [6.612448547793096, -0.7167607032048111], [0.34133865316781803, -7.938481293822661], [-0.08974259847227761, 5.98526522329074], [0.21928176657720372, -0.822613886400599], [7.953457280434601, -7.21234054058977], [-4.950993258581398, 7.200017696398928], [-6.268125841310502, -5.349999998250408], [7.954464471895861, 6.492240203554902]]","[0, 5, 2, 9, 6, 3, 8, 1, 7, 4, 0]","[0.0174, 0.1257, 0.2682, 0.4966, 0.6356, 0.7889, 0.8996, 1.0455, 1.1468]"
