Iteration,Total_delivery_times_tsp,Total_delivery_times_cluster,Total_delivery_times_optimize,Total_travel_times_tsp,Total_travel_times_cluster,Total_travel_times_optimize,Total_truck_times_tsp,Total_truck_times_cluster,Total_truck_times_optimize,Total_drone_times_cluster,Total_drone_times_optimize
1,6.635823908953277,2.8479550367011135,2.8019616125237485,2.385823908953278,2.3479550367011135,2.3019616125237485,2.385823908953278,1.1039011100902356,1.0903146505258379,1.2440539266108779,1.2116469619979107
2,6.826597446648028,3.1873520716361554,3.0334224939559027,2.576597446648028,2.604018738302822,2.450089160622569,2.576597446648028,1.077121600499035,1.019250822240363,1.526897137803787,1.4308383383822063
3,6.649643244597911,3.1690655495439874,3.0998054944001727,2.399643244597911,2.502398882877321,2.433138827733506,2.399643244597911,1.15113058764755,1.0563514797131461,1.3512682952297712,1.3767873480203598
4,6.489014265382604,2.7454448666702462,2.584034233370469,2.2390142653826044,2.3287782000035797,2.1673675667038026,2.2390142653826044,1.0458123311483964,0.9980722426132494,1.2829658688551833,1.169295324090553
5,6.6341498353779755,3.0619531427725852,2.7798103868937796,2.3841498353779755,2.5619531427725852,2.2798103868937796,2.3841498353779755,1.3419942414308528,1.1172269102254369,1.2199589013417325,1.1625834766683427
6,6.579060874997609,3.0933480506689524,2.8133691808538366,2.3290608749976083,2.5933480506689524,2.3133691808538366,2.3290608749976083,1.2374587409228293,1.0694503393690502,1.3558893097461233,1.2439188414847862
7,6.637645612173542,3.051796470571706,2.7999190482330896,2.387645612173542,2.551796470571706,2.2999190482330896,2.387645612173542,1.2238651643024603,1.0530642485490138,1.3279313062692457,1.2468547996840755
8,6.508428920167981,2.9716292611426725,2.697840064568626,2.2584289201679812,2.4716292611426725,2.197840064568626,2.2584289201679812,1.1884417818564121,0.993744592696442,1.2831874792862603,1.2040954718721837
9,6.796411131163551,3.1279536241219583,3.0387889477956564,2.546411131163551,2.544620290788625,2.4554556144623234,2.546411131163551,1.2789924045250645,1.1229739805132224,1.2656278862635604,1.3324816339491008
10,6.698985602559622,3.0295072389108517,2.8105566664285933,2.4489856025596217,2.5295072389108517,2.3105566664285933,2.4489856025596217,1.224699523980545,1.0256730456905285,1.3048077149303068,1.284883620738065
11,6.767730396404499,3.0955667236580293,2.900448170297942,2.5177303964044984,2.5122333903246963,2.317114836964609,2.5177303964044984,1.2610242342823195,1.0946041036489764,1.251209156042377,1.2225107333156322
12,6.552647589950544,2.979989738900609,2.7373190704146477,2.3026475899505443,2.479989738900609,2.2373190704146477,2.3026475899505443,1.1698770336170092,1.0369161279987622,1.3101127052836,1.2004029424158853
13,6.475037720597024,3.2743247052596565,3.046428562120172,2.2250377205970246,2.60765803859299,2.3797618954535054,2.2250377205970246,1.3321670653364541,1.10190201700411,1.2754909732565358,1.2778598784493953
14,6.737076316613572,3.244130219354929,3.1077172991892716,2.487076316613572,2.660796886021596,2.5243839658559386,2.487076316613572,1.169541693577637,1.1427964353453555,1.4912551924439592,1.3815875305105834
15,6.561353518088078,2.979150272884288,2.866261400207021,2.3113535180880778,2.479150272884288,2.366261400207021,2.3113535180880778,1.095331959162698,1.0607107023727484,1.3838183137215898,1.3055506978342724
16,6.593057040196583,3.316189886886573,3.1694367118592948,2.343057040196583,2.6495232202199066,2.5027700451926282,2.343057040196583,1.192507217847082,1.1317101106619836,1.457016002372825,1.3710599345306445
17,6.5488753970298195,2.7278256464978674,2.6055023210940935,2.298875397029819,2.311158979831201,2.188835654427427,2.298875397029819,1.052977603858162,0.9495996242068828,1.2581813759730391,1.239236030220544
18,6.794711632500965,3.3735645333541453,3.183061476080255,2.544711632500965,2.706897866687479,2.5163948094135886,2.544711632500965,1.2930715504805999,1.1711858992411541,1.4138263162068787,1.3452089101724345
