delivery_drones,Delivery_times_opt,Delivery_times_opt_err,Delivery_times_cluster,Delivery_times_cluster_err
2,4.715737677081576,0.07473636626374858,4.856739657965194,0.07858952459190033
4,3.5108948086285836,0.049146564417657544,3.71430081417132,0.05225134161922424
6,3.133220368641154,0.09390186781186546,3.3270012444546193,0.09815234420285035
8,3.0106316432575615,0.08823967986168427,3.20406721174026,0.08792518208678263
10,2.94907665535017,0.08804439106984735,3.1367125910889078,0.10378234944028833
12,2.9970705035842937,0.08747408120205641,3.1818216038006595,0.08797828886144175
14,2.939866278878918,0.08631525392878982,3.1165048247392138,0.07797983573465174
16,3.003832823718431,0.11112396666475445,3.1901843642096335,0.113576608725799
