delivery_drones,Delivery_times_tsp,Delivery_times_cluster,Delivery_times_opt,Truck_times_tsp,Truck_times_cluster,Truck_times_opt
2,6.612992468426932,4.856739657965194,4.715737677081576,2.3629924684269312,1.2317212277592102,1.1197591182859479
4,6.6373457449450415,3.71430081417132,3.5108948086285836,2.387345744945042,1.2331912520287627,1.1027889680428344
6,6.634875903505262,3.3270012444546193,3.133220368641154,2.384875903505261,1.2463226987407547,1.0962505132466276
8,6.645718548680747,3.20406721174026,3.0106316432575615,2.395718548680747,1.236239674913014,1.0837300879718303
10,6.627337864957843,3.1367125910889078,2.94907665535017,2.3773378649578425,1.2534973737528865,1.092518567618214
12,6.651845667572519,3.1818216038006595,2.9970705035842937,2.401845667572517,1.2574160712525784,1.0973857225631174
14,6.636415888479222,3.1165048247392138,2.939866278878918,2.386415888479223,1.220318815697865,1.0779685595590798
16,6.655211024438232,3.1901843642096335,3.003832823718431,2.4052110244382323,1.265475276586421,1.1179870170070998
